feature_id,Adipocyte,Cardiomyocyte,Cycling cells,Endothelial,Fibroblast,Lymphoid,Mast,Myeloid,Neuronal,Pericyte,vSMCs
ENSG00000169084,0.6598466,2.9597974,0.7351729,0.21509518,0.5109679,0.3843809,0.46461725,0.6680684,0.24609293,0.25354782,0.21431531
ENSG00000214717,0.0005395815,0.09058619,0.084586985,0.017305613,0.036707472,0.02869249,0.09286995,0.03972613,0.06444618,0.016781367,0.042945173
ENSG00000002586,0.00052849593,1.5461215,0.57743806,0.36701533,0.38752845,0.40069988,0.4261772,0.56298506,0.25389323,0.30143008,0.41476566
ENSG00000124343,0.0005369457,0.03809677,0.00054671225,0.004896052,0.011721022,0.0005238212,0.00053175574,0.0061761583,0.0005164763,0.0024607135,0.0005329574
ENSG00000056998,0.7755494,0.004855281,0.00053852936,0.001027482,0.0006645872,0.0005268236,0.0005496123,0.0004893771,0.00052699517,0.002933459,0.019785454
ENSG00000006756,0.000519836,0.17558995,0.08357393,0.022760244,0.02798049,0.000527104,0.0908007,0.03298587,0.03711739,0.02020347,0.04700449
ENSG00000101825,0.34595564,0.0073502725,0.15043056,0.02205693,0.099972494,0.042334847,0.00053357764,0.010294166,0.03095642,0.009021388,0.014849974
ENSG00000183943,0.00053360366,0.0058102403,0.5455806,0.15694721,0.13721424,0.52065116,0.9830351,0.2287379,0.067630805,0.13404006,0.18799116
ENSG00000236120,0.0005327415,0.00075457216,0.042546753,0.0011383512,0.002786443,0.000521943,0.063246824,0.18852733,0.0005328317,0.0028843246,0.0005293223
ENSG00000146938,0.00052857003,0.011536081,0.037641153,0.015361697,0.55705017,0.03853449,0.00053323695,0.019530829,1.5396966,0.015104725,0.14075342
ENSG00000130021,0.6876345,0.83239096,0.30320954,0.16665208,0.14320283,0.11061603,0.21249118,0.26493976,0.26018682,0.09551994,0.092848
ENSG00000101846,0.00053324795,0.30000585,0.08575846,0.06888465,0.07385377,0.034740705,0.05441825,0.058722623,0.10342594,0.037583966,0.04347334
ENSG00000285679,0.31909212,3.0361767,0.18900612,0.19330993,0.1428048,0.11009066,0.23820746,0.20657197,0.18556166,0.13582154,0.08733872
ENSG00000011201,0.00052159815,0.09915836,0.0005385282,0.041561503,0.20270489,0.011469371,0.0005227447,0.011362645,0.04367975,0.010165817,0.025162006
ENSG00000101849,1.3094703,1.105233,0.77240694,0.23214476,0.29901734,0.4739791,0.3121656,0.4860251,0.29373014,0.25435704,0.48646978
ENSG00000146950,0.00053136435,0.027357573,0.061612695,0.10242636,0.004620863,0.0122139715,0.00054483546,0.0019513885,0.019014988,0.0027626136,0.0005278673
ENSG00000047644,0.49793836,0.7756968,0.08128748,0.27627116,0.20067865,0.15319884,0.3391967,0.1110452,0.05500387,0.16933477,0.13492177
ENSG00000225076,0.0005416161,0.09879807,0.08517201,0.026902003,0.016690405,0.01655393,0.056580137,0.008452331,0.010487944,0.010656561,0.0005283738
ENSG00000073464,0.0005417417,0.2522348,0.05749339,0.015576994,0.0323985,0.011423868,0.053831033,0.032262426,0.011174444,0.010904496,0.026507225
ENSG00000101871,0.00053740555,0.8896213,0.60350084,0.32395422,1.1151088,0.14160194,0.0509557,0.07604855,0.27695885,0.21796054,0.29770684
ENSG00000234129,0.0005229768,0.05728864,1.377591,0.014205577,0.014567418,0.0005334297,0.0005391162,0.05601763,0.06574354,0.018412251,0.024876507
ENSG00000047648,0.0005379797,0.07391984,1.5571463,0.14610477,0.9946981,0.11633231,1.2500131,1.6471462,0.15029642,1.4462073,1.0684625
ENSG00000005302,0.000541588,0.02937065,0.08732421,0.014018958,0.022073941,0.08437203,0.15919438,0.06976109,0.011763682,0.008747422,0.037553947
ENSG00000169933,0.0005359106,0.6391332,0.05230324,0.013247506,0.031033142,0.039659135,0.078171074,0.01865819,0.024953991,0.015436046,0.05017828
ENSG00000205542,0.31903407,0.24815108,1.0082772,0.67949367,0.5057298,0.6813171,0.29634735,0.6736008,0.38098598,0.5253366,0.39922434
ENSG00000123595,0.00054188125,0.30974966,0.08156908,0.05641971,0.08987327,0.105721466,0.08491821,0.09899576,0.07585345,0.04384466,0.06542402
ENSG00000196459,0.0005355847,0.12025823,0.083808854,0.029953012,0.05016491,0.1107632,0.05695163,0.04508191,0.010888413,0.03111896,0.085576266
ENSG00000046651,0.0005299079,0.4772155,0.32217255,0.10576019,0.12950031,0.23079824,0.15127078,0.10726776,0.15300994,0.061953396,0.04382227
ENSG00000046653,0.00053258677,0.056838784,0.0005375852,0.0119891325,0.030719368,0.011315376,0.000533318,0.019465147,1.8918984,0.04981425,0.02242071
ENSG00000046647,0.545179,0.11713127,0.08754745,0.021435456,0.05956113,0.03071001,0.085372634,0.026278462,0.09022223,0.021295762,0.06890273
ENSG00000101958,0.0005486567,0.00076991547,0.00052243733,0.0011276564,0.0019196483,0.0005316786,0.0005435575,0.0028992477,0.035437934,0.0032872849,0.0005321498
ENSG00000130150,0.0005415915,0.107596576,0.22033872,0.061792664,0.07002706,0.0514269,0.00054195453,0.07650656,0.12360639,0.057320587,0.046133906
ENSG00000165192,0.0005297841,0.8179086,0.10163491,0.027193736,0.03238127,0.068862915,0.114859894,0.055023186,0.015636908,0.038028155,0.054463163
ENSG00000165195,0.00052748976,0.06638742,0.13810465,0.003903067,0.016391974,0.024476118,0.09362511,0.026742227,0.017953463,0.008727266,0.0005334913
ENSG00000165197,0.33880556,0.20577134,0.059261765,0.0348011,0.1495318,0.02944525,0.05543195,0.018696887,0.030447349,0.015466094,0.016983353
ENSG00000087842,0.0005408326,0.9579118,0.19506118,0.181745,0.23352201,0.08507433,0.08532,0.08409894,0.11827002,0.15900807,0.09417374
ENSG00000102010,0.0005289154,0.07230475,0.00052394776,0.15446796,0.011925869,0.010052237,0.0005314704,0.0027130016,0.0005277633,0.052175257,0.018496944
ENSG00000130234,0.0005399106,0.09453143,0.00052737724,0.002402461,0.03204619,0.011715387,0.00053585815,0.0071831564,0.0116836075,0.17618065,0.036293782
ENSG00000169239,0.31986377,0.31154978,0.3342671,0.12218929,0.1944843,0.15634331,0.0840996,0.27530652,0.10491736,0.08010844,0.18784735
ENSG00000169249,0.00053179724,0.1666624,0.083447136,0.03655355,0.054537624,0.108374044,0.12022403,0.14452033,0.0374692,0.0336232,0.035381965
ENSG00000182287,0.0005369448,1.7806517,0.6013974,0.23024724,0.16804853,0.1799404,0.37168232,0.42797133,0.5611816,0.12088172,0.15208496
ENSG00000047230,0.3213765,0.48453355,0.34388173,0.121016406,0.14220436,0.08546716,0.14581266,0.08947222,0.0798208,0.09463572,0.07617257
ENSG00000169895,0.00054320897,0.3240231,0.19514038,0.06773858,0.10475459,0.19045463,0.50606173,0.16982822,0.05629115,0.09240344,0.13811167
ENSG00000086712,0.0005437117,0.21948098,0.2605218,0.05647025,0.09904311,0.07252392,0.053867575,0.052733336,0.07101015,0.05989313,0.06572622
ENSG00000102054,0.0005251887,0.2790169,0.24073717,0.06100064,0.09413392,0.090605654,0.08986627,0.06450598,0.10019682,0.10010778,0.12643202
ENSG00000169891,0.0005377173,0.2699225,0.19907196,0.028526116,0.021262286,0.012686023,0.057117876,0.14999326,0.0216357,0.0381266,0.027482653
ENSG00000188158,1.664798,0.4704772,0.31016,0.06863162,0.28803363,0.104721494,0.089377075,0.12076508,0.21504833,0.50928235,0.98392123
ENSG00000047634,0.0005393427,0.49876347,0.44853827,0.12121215,0.115861915,0.069249354,0.05192903,0.191167,0.098035894,0.120104656,0.115418695
